HBA_cid,HBA_smiles,Vendor Status,GHS_info,Health Score,SCALED HEALTH,HEALTH PI,Environmental Score,ENV SCALED,ENV PI,HBA_InChIKey,HBA_MolecularFormula,HBA_MolecularWeight,SCALED MW,MW PI,HBA_mp,TOTAL PI,RANK,MIN MW in set
75853,CCC[N+](C)(C)C.[Br-],TRUE,"['H315', 'H319']",20,96,52.8,0,100,18,FCGQIZKUTMUWDC-UHFFFAOYSA-M,C6H16BrN,182.1,51.14772103,13.80988468,no mp data,84.60988468,1,
75854,CCCC[N+](C)(C)C.[Br-],TRUE,"['H315', 'H319']",20,96,52.8,0,100,18,YGGIZRRNXQJOTI-UHFFFAOYSA-M,C7H18BrN,196.13,47.48891042,12.82200581,no mp data,83.62200581,2,
78872,CC[N+](C)(C)CC1=CC=CC=C1.[Cl-],TRUE,"['H315', 'H319']",20,96,52.8,0,100,18,IUHDTQIYNQQIBP-UHFFFAOYSA-M,C11H18ClN,199.72,46.63528941,12.59152814,no mp data,83.39152814,3,
6209,C[N+](C)(C)CCO.[Cl-],TRUE,"['H315', 'H319', 'H335']",70,86,47.3,0,100,18,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C5H14ClNO,139.62,66.70964045,18.01160292,305,83.31160292,4,
71310335,C[N+](C)(C)CCO.[Cl-],TRUE,"['H315', 'H319', 'H335']",70,86,47.3,0,100,18,SGMZJAMFUVOLNK-NWZHYJCUSA-M,C5H14ClNO,140.62,66.23524392,17.88351586,no mp data,83.18351586,5,
71309123,C[N+](C)(C)CCO.[Cl-],TRUE,"['H315', 'H319', 'H335']",70,86,47.3,0,100,18,SGMZJAMFUVOLNK-LJJZSEGWSA-M,C5H14ClNO,140.62,66.23524392,17.88351586,no mp data,83.18351586,5,
74745,CCC[N+](CCC)(CCC)CCC.[Br-],TRUE,Not classified as a hazardous substance,0,100,55,0,100,18,BGQMOFGZRJUORO-UHFFFAOYSA-M,C12H28BrN,266.26,34.98084579,9.444828363,252.2222222,82.44482836,7,
16213539,C[N+](C)(C)CCO.[Cl-],TRUE,"['H315', 'H319', 'H335']",70,86,47.3,0,100,18,SGMZJAMFUVOLNK-KYRNGWDOSA-M,C5H14ClNO,148.68,62.64460586,16.91404358,no mp data,82.21404358,8,
82326,CC[N+](C)(CC)CC.[Cl-],TRUE,"['H315', 'H319', 'H335']",70,86,47.3,0,100,18,NIUZJTWSUGSWJI-UHFFFAOYSA-M,C7H18ClN,151.68,61.40559072,16.57950949,no mp data,81.87950949,9,
24951,CCCCCCCCCC[N+](C)(C)C.[Cl-],TRUE,"['H315', 'H319']",20,96,52.8,0,100,18,HXWGXXDEYMNGCT-UHFFFAOYSA-M,C13H30ClN,235.84,39.49287653,10.66307666,no mp data,81.46307666,10,
11746670,CCCC[N+](CC)(CC)CC.[Br-],TRUE,"['H315', 'H319']",20,96,52.8,0,100,18,ZNFYPPCUDSCDPR-UHFFFAOYSA-M,C10H24BrN,238.21,39.09995382,10.55698753,no mp data,81.35698753,11,
88091,CC[N+](CC)(CCO)CC1=CC=CC=C1.[Cl-],TRUE,"['H315', 'H319']",20,96,52.8,0,100,18,MTIWHYTVKBFFOH-UHFFFAOYSA-M,C13H22ClNO,243.77,38.20814702,10.3161997,no mp data,81.1161997,12,
