HBD_cid,HBD_smiles,Vendor Status,GHS_info,Health Score,SCALED Health,HEALTH PI,Environmental Score,SCALED ENV,ENV PI,HBD_InChIKey,HBD_MolecularFormula,HBD_MolecularWeight,SCALED MW,MW PI,HBD_mp,TOTAL PI,RANK,HBD
1176,C(=O)(N)N,True,Not classified as a hazardous substance,0,100.0,55.0,0,100.0,18.0,XSQUKJJJFZCRTK-UHFFFAOYSA-N,CH4N2O,60.056000000000004,99.99000932,26.99730252,132,99.99730252,1,Urea
522583,CC(N)O,True,"['H315', 'H319']",20,97.70114943,53.73563218,0,100.0,18.0,UJPKMTDFFUTLGM-UHFFFAOYSA-N,C2H7NO,61.08,98.31368697,26.54469548,no mp data,98.28032767,2,1-Aminoethanol
71309146,CC(C)O,True,"['H225', 'H319', 'H336']",60,93.10344828,51.20689655,0,100.0,18.0,KFZMGEQAYNKOFK-VMIGTVKRSA-N,C3H8O,63.073,95.20714093,25.70592805,no mp data,94.9128246,3,"(1,2,3-13C3)Propan-2-ol"
12213345,CC(C)O,True,"['H225', 'H319', 'H336']",60,93.10344828,51.20689655,0,100.0,18.0,KFZMGEQAYNKOFK-FIBGUPNXSA-N,C3H8O,63.11,95.15132309,25.69085723,no mp data,94.89775379,4,"2-Propanol-1,1,1-d3"
11182567,CC(=O)O,True,"['H226', 'H312', 'H314']",75,91.37931034,50.25862069,0,100.0,18.0,QTBSBXVTEAMEQO-ZDOIIHCHSA-N,C2H4O2,62.037,96.79707271,26.13520963,no mp data,94.39383032,5,Acetic acid-13C2
2733137,C(CO)O,True,['H302'],50,94.25287356,51.83908046,0,100.0,18.0,LYCAIKOWRPUZTN-LNLMKGTHSA-N,C2H6O2,66.09,90.86094719,24.53245574,no mp data,94.37153620000001,6,Ethylene-d4 glycol
1030,CC(CO)O,True,Not classified as a hazardous substance,0,100.0,55.0,0,100.0,18.0,DNIAPMSPPWPWGF-UHFFFAOYSA-N,C3H8O2,76.09,78.91970035,21.308319100000002,-59,94.3083191,7,Propylene glycol
12213346,CC(C)O,True,"['H225', 'H319', 'H336']",60,93.10344828,51.20689655,0,100.0,18.0,KFZMGEQAYNKOFK-WFGJKAKNSA-N,C3H8O,66.13,90.80598821,24.51761682,no mp data,93.72451337,8,"2-Propanol-1,1,1,3,3,3-d6"
10442,C(CO)CO,True,['H315'],10,98.85057471,54.36781609,0,100.0,18.0,YPFDHNVEDLHUCE-UHFFFAOYSA-N,C3H8O2,76.09,78.91970035,21.308319100000002,-26.7,93.67613519,9,"1,3-Propanediol"
439846,CC(CO)O,True,['H319'],10,98.85057471,54.36781609,0,100.0,18.0,DNIAPMSPPWPWGF-VKHMYHEASA-N,C3H8O2,76.09,78.91970035,21.308319100000002,no mp data,93.67613519,9,"S-1,2-Propanediol"
