HBD_cid,HBD_smiles,Vendor Status,GHS_info,Health Score,Environmental Score
1176,C(=O)(N)N,True,Not classified as a hazardous substance,0,0
11457650,C(=O)(N)N,True,No GHS data available,100,100
636363,C(=O)(N)N,True,No GHS data available,100,100
10197611,C(=O)(N)N,True,No GHS data available,100,100
2723980,C(=O)(N)N,True,No GHS data available,100,100
22120529,C(=O)(N)NS,True,No GHS data available,100,100
131953165,C(=O)(N)N,True,No GHS data available,100,100
71309436,C(=O)(N)N,True,No GHS data available,100,100
71309326,C(=O)(N)N,True,No GHS data available,100,100
71308962,C(=O)(N)N,True,No GHS data available,100,100
16213489,C(=O)(N)N,True,No GHS data available,100,100
71309437,C(=O)(N)N,True,No GHS data available,100,100
124202878,C(=O)(N)N,True,No GHS data available,100,100
1030,CC(CO)O,True,Not classified as a hazardous substance,0,0
7896,CC(CCO)O,True,['H226'],0,0
753,C(C(CO)O)O,True,Not classified as a hazardous substance,0,0
222285,C(C(C(CO)O)O)O,True,"['H315', 'H319', 'H335']",70,0
11164,C1C(O1)CO,True,"['H302', 'H312', 'H315', 'H319', 'H331', 'H335', 'H341', 'H350', 'H360F', 'H242', 'H314', 'H330', 'H360', 'H340', 'H227', 'H361', 'H370', 'H373']",820,0
10442,C(CO)CO,True,['H315'],10,0
262,CC(C(C)O)O,True,['H227'],0,0
14846,CC(CO)OC,True,"['H226', 'H315', 'H318', 'H335', 'H360D', 'H360']",185,0
169019,C(C(C(CO)O)O)O,True,"['H315', 'H319', 'H335']",70,0
18302,C(CO)C(CO)O,True,"['H315', 'H319', 'H335']",70,0
12190,COCC(COC)O,True,"['H226', 'H336']",50,0
11429,CCC(CO)O,True,['H319'],10,0
8998,C(C(C(CO)O)O)O,True,"['H315', 'H319', 'H335']",70,0
92127,C(C(CI)O)O,True,No GHS data available,100,100
637497,CC(CCO)O,True,"['H315', 'H319', 'H335']",70,0
446973,CC(CCO)O,True,"['H315', 'H319', 'H335']",70,0
439888,CC(C(C)O)O,True,"['H315', 'H319', 'H335']",70,0
439846,CC(CO)O,True,['H319'],10,0
259994,CC(CO)O,True,['H319'],10,0
92822,COCC(CO)O,True,No GHS data available,100,100
42953,C(C(COCC(CO)O)O)O,True,"['H315', 'H319', 'H335']",70,0
6994279,C(CO)C(CO)O,True,"['H315', 'H319', 'H335']",70,0
6973630,C1C(O1)CO,True,"['H302', 'H312', 'H315', 'H318', 'H331', 'H335', 'H350', 'H360']",410,0
5460455,C1C(O1)CO,True,"['H242', 'H302', 'H312', 'H314', 'H331', 'H341', 'H350', 'H360F', 'H360', 'H302+H312', 'H330', 'H227', 'H315', 'H319', 'H335', 'H361', 'H370', 'H373']",870,0
445969,C(C(C(CO)O)O)O,True,"['H315', 'H319', 'H335']",70,0
225936,CC(C(C)O)O,True,No GHS data available,100,100
220010,CC(C(C)O)O,True,No GHS data available,100,100
94215,CCOCC(CO)O,True,"['H315', 'H319', 'H335']",70,0
20497,CC(C(CO)O)O,True,"['H302', 'H315', 'H319', 'H335']",120,0
1657,C(C(CF)O)O,True,"['H301', 'H311', 'H315', 'H319', 'H331', 'H335']",295,0
12486323,COCC(CO)OC,True,"['H227', 'H315', 'H319', 'H335']",70,0
11170931,COC(CO)CO,True,"['H315', 'H319', 'H335']",70,0
6993189,CCC(CO)O,True,['H319'],10,0
99037,CCCOCC(CO)O,True,No GHS data available,100,100
20195342,C(C(CO)(O)O)O,True,No GHS data available,100,100
12592183,C(C(CI)O)O,True,No GHS data available,100,100
12241264,CC(C(CO)O)O,True,No GHS data available,100,100
6398419,CC(C(CO)O)O,True,No GHS data available,100,100
641012,CCC(CO)O,True,['H319'],10,0
640997,C(CO)C(CO)O,True,No GHS data available,100,100
547790,CC(C(C)OC)O,True,No GHS data available,100,100
449470,CC(C(O)O)O,True,No GHS data available,100,100
345901,CC(CO)(CO)O,True,No GHS data available,100,100
156179,COCC(CO)O,True,No GHS data available,100,100
139799,CC(C(C(C)O)O)O,True,No GHS data available,100,100
123505,CCC(C(C)O)O,True,No GHS data available,100,100
71309239,C(CO)CO,True,['H315'],10,0
40457949,CCC(C(C)O)O,True,No GHS data available,100,100
21627884,C(C(C(O)O)O)O,True,No GHS data available,100,100
20162113,C(C(COS)O)O,True,No GHS data available,100,100
17835330,CC(CO)OO,True,No GHS data available,100,100
16213271,CC(CO)O,True,No GHS data available,100,100
14819038,CC(COO)O,True,No GHS data available,100,100
14120372,CCOC(CO)CO,True,No GHS data available,100,100
12239075,C(C(CO)O)O,True,No GHS data available,100,100
12203561,CC(C(C)O)O,True,No GHS data available,100,100
11768502,C(C(CO)O)O,True,No GHS data available,100,100
10630886,C(C(CO)OCC(CO)O)O,True,No GHS data available,100,100
10176094,C(C(CO)O)O,True,No GHS data available,100,100
7014878,COCC(CO)O,True,No GHS data available,100,100
642402,CC(CO)OC,True,['H226'],0,0
253154,CC(C(CO)O)O,True,No GHS data available,100,100
240392,CC(C)OCC(CO)O,True,No GHS data available,100,100
214676,C(C(CF)O)O,True,No GHS data available,100,100
208702,C(C(CF)O)O,True,No GHS data available,100,100
87008,CC(C)OC(CO)CO,True,No GHS data available,100,100
85759,C(COCC(CO)O)O,True,No GHS data available,100,100
71309005,CC(CO)O,True,No GHS data available,100,100
57882501,C(CO)CO,True,No GHS data available,100,100
57127623,CC(C(CO)OC)O,True,No GHS data available,100,100
54145031,C(C(CO)ON)O,True,No GHS data available,100,100
45479327,C(C(C(CO)O)O)O,True,No GHS data available,100,100
44148235,C(C(COOOCC(CO)O)O)O,True,No GHS data available,100,100
44118659,CC(C(C)O)O,True,No GHS data available,100,100
22709006,C(C(COOCC(CO)O)O)O,True,No GHS data available,100,100
22286133,CC(CO)ON,True,No GHS data available,100,100
22002688,COCCC(CO)O,True,No GHS data available,100,100
21891976,CC(CO)(O)O,True,No GHS data available,100,100
21758503,CC(CO)OCCCO,True,No GHS data available,100,100
18728334,CC(C(CO)O)O,True,No GHS data available,100,100
16213502,C(CO)CO,True,No GHS data available,100,100
16213438,C(C(CO)O)O,True,No GHS data available,100,100
15720951,COCCC(CO)O,True,No GHS data available,100,100
14229398,B(O)(O)OCC(CO)O,True,No GHS data available,100,100
13801163,CCC(C(CO)O)O,True,No GHS data available,100,100
13536814,C(C(CO)(CO)O)O,True,No GHS data available,100,100
13273098,C(C(CON)O)ON,True,No GHS data available,100,100
13273090,C(C(CON)O)O,True,No GHS data available,100,100
12825070,C(C(COS(=O)(=O)O)O)O,True,No GHS data available,100,100
12592182,C(C(CI)O)O,True,No GHS data available,100,100
12498146,CCC(C(C)O)O,True,No GHS data available,100,100
12498145,CCC(C(C)O)O,True,No GHS data available,100,100
12203549,CC(CO)O,True,No GHS data available,100,100
11275204,C(C(CO)OC(CO)CO)O,True,No GHS data available,100,100
11159299,CC(C(C)OC)O,True,No GHS data available,100,100
11137112,CCC(C(C)O)O,True,No GHS data available,100,100
6999759,CCOCC(CO)O,True,No GHS data available,100,100
2733588,CC(CO)OC,True,No GHS data available,100,100
547785,CCC(C(CO)O)O,True,No GHS data available,100,100
370185,C(C(C[As](=O)(O)O)O)O,True,No GHS data available,100,100
155528,CCCOCC(CO)O,True,No GHS data available,100,100
90853312,CC(C(C)OC)O,True,No GHS data available,100,100
89781510,C(C(C(O)O)O)O,True,No GHS data available,100,100
87931346,COCC(CO)OC,True,"['H227', 'H315', 'H319', 'H335']",70,0
87561753,CC(C(C)OO)O,True,No GHS data available,100,100
87153038,CC(C(C)OC)O,True,No GHS data available,100,100
71309105,C(CO)CO,True,No GHS data available,100,100
71309096,CC(CO)O,True,No GHS data available,100,100
71308889,C(CO)CO,True,No GHS data available,100,100
59596539,CC(C)OCC(CO)O,True,No GHS data available,100,100
59026256,CC(C(C)OC)O,True,No GHS data available,100,100
57056659,CC(C(COC)OC)O,True,No GHS data available,100,100
57035454,CC(C(CO)OC)OC,True,No GHS data available,100,100
53952034,CC(C(CO)OC)OC,True,No GHS data available,100,100
53628390,CC(C)OCC(CO)O,True,No GHS data available,100,100
36689483,C(C(COCC(CO)O)O)O,True,No GHS data available,100,100
25240475,C(C(CO)O)O,True,No GHS data available,100,100
23618335,C(C(COBr)O)O,True,No GHS data available,100,100
22571161,CC(COCCCO)O,True,No GHS data available,100,100
22481615,CC(C(COC)O)O,True,No GHS data available,100,100
21895936,CCOCC(CO)OC,True,No GHS data available,100,100
21571544,CC(C(CO)OC)OC,True,No GHS data available,100,100
21286640,CCOC(CO)COC,True,No GHS data available,100,100
19067848,C(COC(CO)CO)O,True,No GHS data available,100,100
16218180,C(C(CO)O)O,True,No GHS data available,100,100
16211950,C(C(CO)O)O,True,No GHS data available,100,100
13521797,C(C(COCC(CO)O)O)O,True,No GHS data available,100,100
13520626,CCCOC(CO)CO,True,No GHS data available,100,100
12486324,COCC(CO)OC,True,"['H227', 'H315', 'H319', 'H335']",70,0
12239078,C(C(CO)O)O,True,No GHS data available,100,100
12201647,C(CO)CO,True,No GHS data available,100,100
641249,C(C(C(O)O)O)O,True,No GHS data available,100,100
130651404,CC(C(O)O)O,True,No GHS data available,100,100
88772525,C(C(COP(O)O)O)O,True,No GHS data available,100,100
66751347,CC(C(CO)O)OC,True,No GHS data available,100,100
20111989,C(C(C(O)O)(O)O)(O)O,True,No GHS data available,100,100
13801164,CCC(C(CO)O)O,True,No GHS data available,100,100
12241263,CC(C(CO)O)O,True,No GHS data available,100,100
11636797,CCC(C(CO)O)O,True,No GHS data available,100,100
10240764,C(C(CO)O)O,True,No GHS data available,100,100
6995508,CCOCC(CO)O,True,No GHS data available,100,100
12203560,CC(C(C)O)O,True,No GHS data available,100,100
12239072,C(C(CO)O)O,True,No GHS data available,100,100
12239073,C(C(CO)O)O,True,No GHS data available,100,100
12239074,C(C(CO)O)O,True,No GHS data available,100,100
12239077,C(C(CO)O)O,True,No GHS data available,100,100
12239081,C(C(CO)O)O,True,No GHS data available,100,100
13414487,CC(CO)OCl(=O)(=O)=O,True,No GHS data available,100,100
13801166,CCC(C(CO)O)O,True,No GHS data available,100,100
22942535,C(COCC(CO)O)O,True,No GHS data available,100,100
23443634,B(O)(O)OC(CO)CO,True,No GHS data available,100,100
24884332,C(C(COCC(CO)O)O)O,True,No GHS data available,100,100
25021242,C(C(CON)O)O,True,No GHS data available,100,100
28765086,C(C(CON)O)O,True,No GHS data available,100,100
51387568,CCCOCC(CO)O,True,No GHS data available,100,100
53799853,C(CO)COC(CO)CO,True,No GHS data available,100,100
54489591,CC(C(COC)O)OC,True,No GHS data available,100,100
57347081,C(C(COS)O)O,True,No GHS data available,100,100
71309694,CC(C(C)O)O,True,No GHS data available,100,100
71309813,CC(CO)O,True,No GHS data available,100,100
71317136,C1C(O1)CO,True,No GHS data available,100,100
79611158,CC(C(C)OC)O,True,No GHS data available,100,100
79611159,CC(C(C)OC)O,True,No GHS data available,100,100
88034440,C(C(C(CO)O)O)O,True,No GHS data available,100,100
88589195,CC(C(COC)O)O,True,No GHS data available,100,100
92257131,C(COCC(CO)O)O,True,No GHS data available,100,100
101608138,CC(C(COC)O)O,True,No GHS data available,100,100
