HBD_cid,HBD_smiles,Vendor Status
1176,C(=O)(N)N,True
11457650,C(=O)(N)N,True
636363,C(=O)(N)N,True
10197611,C(=O)(N)N,True
2723980,C(=O)(N)N,True
22120529,C(=O)(N)NS,True
11367429,C(=O)(N)NI,False
131953165,C(=O)(N)N,True
71309436,C(=O)(N)N,True
71309326,C(=O)(N)N,True
71308962,C(=O)(N)N,True
54486461,C(=O)(N)N,False
22301546,C(=O)(N)NSN,False
16213489,C(=O)(N)N,True
5359702,C(=O)(N)[NH],False
145840767,C(=O)(N)N,False
91028607,C(=O)(N)N,False
451202,C(=O)(N)N,False
10964392,C(=O)(N)N,False
25144640,C(=O)(N)N,False
25144776,C(=O)(N)N,False
71309437,C(=O)(N)N,True
124202878,C(=O)(N)N,True
131885161,C(=O)(N)N,False
1030,CC(CO)O,True
7896,CC(CCO)O,True
753,C(C(CO)O)O,True
222285,C(C(C(CO)O)O)O,True
11164,C1C(O1)CO,True
10442,C(CO)CO,True
262,CC(C(C)O)O,True
14846,CC(CO)OC,True
169019,C(C(C(CO)O)O)O,True
18302,C(CO)C(CO)O,True
12190,COCC(COC)O,True
11429,CCC(CO)O,True
8998,C(C(C(CO)O)O)O,True
92127,C(C(CI)O)O,True
637497,CC(CCO)O,True
446973,CC(CCO)O,True
439888,CC(C(C)O)O,True
439846,CC(CO)O,True
259994,CC(CO)O,True
92822,COCC(CO)O,True
42953,C(C(COCC(CO)O)O)O,True
6994279,C(CO)C(CO)O,True
6973630,C1C(O1)CO,True
5460455,C1C(O1)CO,True
445969,C(C(C(CO)O)O)O,True
225936,CC(C(C)O)O,True
220010,CC(C(C)O)O,True
94215,CCOCC(CO)O,True
20497,CC(C(CO)O)O,True
1657,C(C(CF)O)O,True
12486323,COCC(CO)OC,True
11170931,COC(CO)CO,True
6993189,CCC(CO)O,True
99037,CCCOCC(CO)O,True
20195342,C(C(CO)(O)O)O,True
12592183,C(C(CI)O)O,True
12241264,CC(C(CO)O)O,True
6398419,CC(C(CO)O)O,True
641012,CCC(CO)O,True
640997,C(CO)C(CO)O,True
547790,CC(C(C)OC)O,True
449470,CC(C(O)O)O,True
345901,CC(CO)(CO)O,True
156179,COCC(CO)O,True
139799,CC(C(C(C)O)O)O,True
123505,CCC(C(C)O)O,True
71309239,C(CO)CO,True
40457949,CCC(C(C)O)O,True
21627884,C(C(C(O)O)O)O,True
20162113,C(C(COS)O)O,True
17835330,CC(CO)OO,True
16213271,CC(CO)O,True
14819038,CC(COO)O,True
14120372,CCOC(CO)CO,True
12239075,C(C(CO)O)O,True
12203561,CC(C(C)O)O,True
11768502,C(C(CO)O)O,True
10630886,C(C(CO)OCC(CO)O)O,True
10176094,C(C(CO)O)O,True
7014878,COCC(CO)O,True
642402,CC(CO)OC,True
253154,CC(C(CO)O)O,True
240392,CC(C)OCC(CO)O,True
214676,C(C(CF)O)O,True
208702,C(C(CF)O)O,True
87008,CC(C)OC(CO)CO,True
85759,C(COCC(CO)O)O,True
87261709,C(C(C(O)F)O)O,False
87205914,B(C(C(CO)O)O)(O)O,False
71309005,CC(CO)O,True
59392129,C(C(COO)O)OO,False
58166097,COCCC(CO)O,False
57882501,C(CO)CO,True
57127623,CC(C(CO)OC)O,True
56636932,C(C(CO)O)O,False
54315362,C(C(COP)O)O,False
54184487,C(C(CO)O)O,False
54145031,C(C(CO)ON)O,True
54142459,C(C(COCl)O)O,False
45479327,C(C(C(CO)O)O)O,True
44148235,C(C(COOOCC(CO)O)O)O,True
44118659,CC(C(C)O)O,True
23069655,C(C(C(O)(O)O)(O)O)O,False
22709006,C(C(COOCC(CO)O)O)O,True
22404033,CC(C(O)(O)O)O,False
22286133,CC(CO)ON,True
22002688,COCCC(CO)O,True
21891976,CC(CO)(O)O,True
21841920,C(C(C(O)I)O)O,False
21758503,CC(CO)OCCCO,True
21413945,COOCC(CO)O,False
19861959,C1C(COO1)O,False
18728334,CC(C(CO)O)O,True
18699327,C1C(C1O)O,False
17977369,C(C(COO)O)O,False
16750120,C1(C(C1O)O)O,False
16213502,C(CO)CO,True
16213438,C(C(CO)O)O,True
15720951,COCCC(CO)O,True
14229398,B(O)(O)OCC(CO)O,True
13801163,CCC(C(CO)O)O,True
13536814,C(C(CO)(CO)O)O,True
13273098,C(C(CON)O)ON,True
13273090,C(C(CON)O)O,True
12825070,C(C(COS(=O)(=O)O)O)O,True
12592182,C(C(CI)O)O,True
12498146,CCC(C(C)O)O,True
12498145,CCC(C(C)O)O,True
12210534,CC(C(C(C)O)O)O,False
12203549,CC(CO)O,True
12201648,C(CO)CO,False
11275204,C(C(CO)OC(CO)CO)O,True
11159299,CC(C(C)OC)O,True
11137112,CCC(C(C)O)O,True
9989217,C(C(CO)O)O,False
6999759,CCOCC(CO)O,True
2733588,CC(CO)OC,True
547785,CCC(C(CO)O)O,True
370185,C(C(C[As](=O)(O)O)O)O,True
155528,CCCOCC(CO)O,True
132052620,C(C(CO)OOC(CO)CO)O,False
129691012,C(C(CO)(O)S)O,False
129674498,C(CO)CO,False
124014110,CC(CO)O,False
123932223,C(C(CON)OO)O,False
123891545,CC(COO)O,False
123839150,CC(COO)O,False
91473115,C(CO)CO,False
91294772,C(C(C(O)(S)S)O)O,False
91216283,C(CO)CO,False
91170468,C(C(CO)O)O,False
91132755,C(C(CON=S)O)O,False
91062988,B(O)(O)OCC(CO)OB(O)O,False
91038746,CC(C(O)(O)OO)O,False
90853312,CC(C(C)OC)O,True
90727667,C(C(CO)O)O,False
90687902,CCOOCC(COO)O,False
89781510,C(C(C(O)O)O)O,True
88547398,C(C(C(COS)O)O)O,False
88387482,B(O)(O)OOCC(CO)O,False
87985965,C(C#CC(CO)O)O,False
87963851,C(C(COBr)O)OBr,False
87931346,COCC(CO)OC,True
87626421,C#COCC(CO)O,False
87561753,CC(C(C)OO)O,True
87391684,C1C(OOO1)CO,False
87363183,C(C(C(O)OO)O)O,False
87362865,C(C(O)O)(C(O)O)O,False
87293521,COOCC(COOC)O,False
87270403,C(C(COCC(CO)O)O)O,False
87238382,C(C(C(O)(O)O)O)O,False
87234101,CCCOOCC(CO)O,False
87153038,CC(C(C)OC)O,True
72201055,C([C](CO)O)O,False
71309105,C(CO)CO,True
71309096,CC(CO)O,True
71308889,C(CO)CO,True
59971972,[B]CC(CO)O,False
59957104,[CH]1C(O1)CO,False
59915782,[CH](C(C(O)O)O)O,False
59902700,[CH]C(CO)O,False
59645032,C(C(CO)O)O,False
59645029,C(C(CO)O)O,False
59645028,C(C(CO)O)O,False
59645025,C(C(CO)O)O,False
59645024,C(C(CO)O)O,False
59645023,C(C(CO)O)O,False
59645022,C(C(CO)O)O,False
59645021,C(C(CO)O)O,False
59645020,C(C(CO)O)O,False
59645019,C(C(CO)O)O,False
59645018,C(C(CO)O)O,False
59645017,C(C(CO)O)O,False
59645016,C(C(CO)O)O,False
59645015,C(C(CO)O)O,False
59645014,C(C(CO)O)O,False
59645013,C(C(CO)O)O,False
59645012,C(C(CO)O)O,False
59645011,C(C(CO)O)O,False
59645010,C(C(CO)O)O,False
59645007,C(C(CO)O)O,False
59645006,C(C(CO)O)O,False
59596539,CC(C)OCC(CO)O,True
59446180,CCC(C(C)O)O,False
59348021,[CH]CC(CO)O,False
59269245,[CH]CCC(CO)O,False
59153531,[B](O)OCC(CO[B]O)O,False
59149373,[CH]C(CO)O,False
59149364,[CH]C(CO)O,False
59100689,CC(C(C(C)O)O)O,False
59094426,C1C(O1)CO,False
59083392,CC([CH]O)O,False
59080007,CC(CCO)O,False
59075452,C1C(C1O)O,False
59075449,C1C(C1O)O,False
59026256,CC(C(C)OC)O,True
59003326,CC(C(C)OC)O,False
58925534,CC(C(C(C)O)O)O,False
58816665,CC(CO)O,False
58761517,CC(CO)O[CH],False
58756301,CC([CH]O)O,False
58729191,C(C(CO)O)O,False
58618340,CC(C(C)O)O,False
58185744,CC(C[O])O,False
58185743,CC(C[O])O,False
57869848,[CH]CC(CO)O,False
57869847,[CH]CC(CO)O,False
