HBA,HBD,HBA Tmp (¡C),HBD Tmp (¡C),HBA_Ratio,HBD_Ratio,Mole Fraction of HBA,Mole Fraction of HBD,DES Tmp (¡C)
choline chloride,urea,302.0,134.0,1.0,2.0,0.333333333,0.666666667,12
choline chloride,thiourea,302.0,175.0,1.0,3.0,0.25,0.75,<10
choline chloride,trifluoroacetamide,302.0,72.0,1.0,2.0,0.333333333,0.666666667,-44
choline chloride,propanoic acid,302.0,-21.0,1.0,2.0,0.333333333,0.666666667,<-80
choline chloride,chloroacetic acid,302.0,63.0,1.0,2.0,0.333333333,0.666666667,<-80
choline chloride,trichloroacetic acid,302.0,58.0,1.0,2.0,0.333333333,0.666666667,<-80
choline chloride,phenylacetic acid,302.0,77.0,1.0,2.0,0.333333333,0.666666667,25
choline chloride,phenylpropanoic acid ,302.0,48.0,1.0,2.0,0.333333333,0.666666667,20
choline chloride,malonic acid,302.0,135.0,1.0,1.0,0.5,0.5,10
choline chloride,glutaric acid,302.0,98.0,1.0,1.0,0.5,0.5,-16
choline chloride,glycolic acid,302.0,75.0,1.0,1.0,0.5,0.5,-16
choline chloride,lactic acid,302.0,16.8,1.0,2.0,0.333333333,0.666666667,-78
choline chloride,levulinic acid,302.0,32.0,1.0,3.0,0.25,0.75,-11
choline chloride,oxalic acid ,302.0,190.0,1.0,1.0,0.5,0.5,-40
choline chloride,malic acid,302.0,100.0,1.0,1.0,0.5,0.5,-56
choline chloride,trifluoromethanesulfonic acid,302.0,-40.0,,,,,<25
choline chloride,tosylic acid,302.0,100.4,1.0,2.0,0.333333333,0.666666667,<-80
choline chloride,ethylene glycol,302.0,-12.9,1.0,2.0,0.333333333,0.666666667,-66
choline chloride,diethylene glycol,302.0,-10.45,1.0,3.0,0.25,0.75,<-20
choline chloride,triethylene glycol,302.0,-7.0,1.0,3.0,0.25,0.75,-19.8
choline chloride,glycerol,302.0,17.8,1.0,2.0,0.333333333,0.666666667,-40
choline chloride,"1,2-propanediol",302.0,-59.0,1.0,3.0,0.25,0.75,<-20
choline chloride,"1,4-butanediol",302.0,20.1,1.0,2.0,0.333333333,0.666666667,-32
choline chloride,"2,3-butanediol",302.0,19.0,1.0,3.0,0.25,0.75,<-20
choline chloride,furfuryl alcohol,302.0,-29.0,1.0,3.0,0.25,0.75,-36
choline chloride,xylitol,302.0,96.0,1.0,1.0,0.5,0.5,LRT
choline chloride,d-sorbitol,302.0,99.0,1.0,1.0,0.5,0.5,9
choline chloride,xylose,302.0,145.0,1.0,1.0,0.5,0.5,LRT
choline chloride,fructose,302.0,103.0,2.0,1.0,0.666666667,0.333333333,10
choline chloride,glucose,302.0,146.0,2.0,1.0,0.666666667,0.333333333,15
choline chloride,sucrose,302.0,186.0,1.0,1.0,0.5,0.5,LRT
choline chloride,phenol,302.0,40.5,1.0,3.0,0.25,0.75,-20
choline chloride,o-cresol,302.0,31.0,1.0,3.0,0.25,0.75,-24
choline chloride,p-cresol,302.0,35.5,1.0,2.0,0.333333333,0.666666667,<20
choline chloride,"2,3-dimethylphenol",302.0,75.0,1.0,3.0,0.25,0.75,18
choline chloride,4-chlorophenol,302.0,42.8,4.0,5.0,0.444444444,0.5555555560000001,<20
choline chloride,2-methoxyphenol,302.0,32.0,1.0,3.0,0.25,0.75,<20
choline chloride,ethanolamine,302.0,10.3,1.0,2.0,0.333333333,0.666666667,<-20
choline chloride,triethanolamine,302.0,21.6,1.0,2.0,0.333333333,0.666666667,LRT
choline acetate,urea,85.0,134.0,1.0,2.0,0.333333333,0.666666667,18
choline acetate,glycerol,85.0,17.8,1.0,1.5,0.4,0.6,13
choline bromide,levulinic acid,298.0,32.0,1.0,4.0,0.2,0.8,10.7
choline fluoride,urea,,134.0,1.0,2.0,0.333333333,0.666666667,1
choline nitrate,urea,,134.0,1.0,2.0,0.333333333,0.666666667,4
(2-chloroethyl)trimethylammonium chloride,urea,239.0,134.0,1.0,2.0,0.333333333,0.666666667,15
ethyl(2-hydroxyethyl)dimethylammonium chloride,urea,,134.0,1.0,2.0,0.333333333,0.666666667,-38
benzyl(2-hydroxyethyl)dimethylammonium chloride,urea,78.0,134.0,1.0,2.0,0.333333333,0.666666667,-33
benzyl(2-hydroxyethyl)dimethylammonium chloride,levulinic acid,78.0,32.0,1.0,2.0,0.333333333,0.666666667,<20
benzyl(2-hydroxyethyl)dimethylammonium chloride,xylose,78.0,145.0,1.0,1.0,0.5,0.5,-30
benzyl(2-hydroxyethyl)dimethylammonium chloride,ribose,78.0,95.0,1.0,1.0,0.5,0.5,-28
