HBD_cid,HBD_smiles
1176,C(=O)(N)N
11457650,C(=O)(N)N
636363,C(=O)(N)N
101721,C(=O)(N)N.Cl
53411231,C(=O)(N)N.Br
10197611,C(=O)(N)N
2723980,C(=O)(N)N
181299,C(=O)(N)N.S
86736265,C(=O)(N)N.[Na]
86596646,[HH].C(=O)(N)N
59101662,C(=O)([NH3+])N
22635082,C(=O)(N)N.[NH4+]
22227373,C(=O)(N)N.N
22120529,C(=O)(N)NS
12201322,C(=O)(N)N.O
11367429,C(=O)(N)NI
133083685,C(=O)(N)N.Cl.Cl.Cl
131953165,C(=O)(N)N
129798405,C(=O)(N)N[Se]S
129773145,C(=O)(N)N=[Se]
129633844,C(=O)(N)N.N#N
129628220,C(=O)(N)N[Sb]
71309436,C(=O)(N)N
71309326,C(=O)(N)N
71308962,C(=O)(N)N
59676589,C(=O)(N)[NH-].[Rb+]
54486461,C(=O)(N)N
44147494,C(=O)(N)N.[Br-]
23692105,C(=O)(N)N.[Na+].[Cl-]
22906606,C(=O)(N)N.F
22301546,C(=O)(N)NSN
22186107,C(=O)(N)N.Cl.Cl
21219856,C(=O)(N)[N+]#N
16213489,C(=O)(N)N
5359702,C(=O)(N)[NH]
145840767,C(=O)(N)N
141294216,C(=O)(N)N=[Se].S
141261221,C(=O)(N)N.ClCl
141256741,[C-](=O)N.[NH4+]
141233680,C(=O)(N)N.O=[Zn]
141182016,C(=O)(N)N.BrBr
141120069,C(=O)(N)N.FF
140352613,C(=O)(N)N=[Fe]
139715943,[Li+].C(=O)(N)[NH-]
139263372,C(=O)(N)N.[Cu+]
139235623,C(=O)(N)[NH-].[Na+]
137219787,C(=O)([NH3+])N.Br.[Br-]
136344200,C(=O)([NH3+])N.[I-]
135687120,C(=O)([NH3+])N.[Br-]
129831212,C(=O)(N)[NH-].[Zn]
129697112,C(=O)(N)[NH-].[NH2-].O=[Ni]
129637176,C(=O)(N)[Sb]N
118902296,C(=O)(N)N.F.F
91028607,C(=O)(N)N
57446744,C(=O)(N)N[Sn]
23349884,C(=O)(N)N.Br.Br
22906607,C(=O)(N)N.I
21657412,C(=O)(N)N.[Cu+2]
451202,C(=O)(N)N
6365645,[B-].C(=O)(N)N
10964392,C(=O)(N)N
18934404,C(=O)(N)N.[O-2].[Zn+2]
