X,Y,rank,CID,SMILES
-2.0790145,2.5574667,1,75853,CCC[N+](C)(C)C.[Br-]
0.9746549000000001,2.2909558,2,75854,CCCC[N+](C)(C)C.[Br-]
-1.9019644,-8.801932,3,78872,CC[N+](C)(C)CC1=CC=CC=C1.[Cl-]
-9.5275135,-2.1968315,4,6209,C[N+](C)(C)CCO.[Cl-]
-9.527011,-2.1964314,5,71310335,C[N+](C)(C)CCO.[Cl-]
-9.5275135,-2.1968315,6,71309123,C[N+](C)(C)CCO.[Cl-]
-3.4247038,5.2821207,7,74745,CCC[N+](CCC)(CCC)CCC.[Br-]
-9.527513,-2.1968272,8,16213539,C[N+](C)(C)CCO.[Cl-]
-4.5071926,1.8546662,9,82326,CC[N+](C)(CC)CC.[Cl-]
4.0126886,1.2186903,10,24951,CCCCCCCCCC[N+](C)(C)C.[Cl-]
-3.2837741,9.791796000000001,11,11746670,CCCC[N+](CC)(CC)CC.[Br-]
-0.3457407,-7.7920527,12,88091,CC[N+](CC)(CCO)CC1=CC=CC=C1.[Cl-]
-4.862647,-8.412725,13,6452152,C1CCC2=[N+](CC1)CCCN2CC3=CC=CC=C3.[Cl-]
-6.7331185,7.4604363,14,112264,CC[N+]1(CCCC1)C.[Br-]
2.2918909,2.1326046,15,74750,CCCCCCCCC[N+](C)(C)C.[Br-]
-3.23132,-7.6665173,16,11062816,C[N+](C)(C)CC1=CC=CC=C1.[F-]
-1.0036259,-7.0482726,17,165294,CC[N+](CC)(CC)CC1=CC=CC=C1.[Br-]
-3.7036339999999996,-9.330474,18,3015147,C[N+](C)(CC1=CC=CC=C1)C2CCCCC2.[Cl-]
-2.1674602000000003,-8.88183,19,101569,C[N+](C)(CC1=CC=CC=C1)CC2=CC=CC=C2.[Cl-]
-4.656842,4.964290599999999,20,23500186,CCC[N+](CC)(CCC)CCC.[I-]
-1.9427965,7.4831270000000005,21,10891295,CCCC[N+](CCCC)(CCCC)CCCC.F.[F-]
-11.581914,1.0153272,22,6060,CC(=O)OCC[N+](C)(C)C.[Cl-]
-8.721697,-1.9451836,23,74724,C[N+](C)(C)CCO.[Br-]
-3.0924187,-7.55468,24,16211989,C[N+](C)(C)CC1=CC=CC=C1.O.[F-]
-0.94350165,-7.0573797,25,122756,CC[N+](CC)(CC)CC1=CC=CC=C1.[I-]
-8.685121,-2.0136354,26,16217619,C[N+](C)(C)CCO.[Br-]
7.601368400000001,6.5876875,27,44630344,CCCCCCCC[N+](C)(C)CCCCCC.[Br-]
4.109851399999999,-7.5889063,28,3034700,CCCCCCCCCCCCCC[N+](CC1=CC=CC=C1)(CC(C)O)CC(C)O.[Cl-]
-11.581832,1.0159309,29,45038081,CC(=O)OCC[N+](C)(C)C.[Cl-]
-8.712460499999999,-1.9629637,30,71308987,C[N+](C)(C)CCO.[Br-]
-6.5341153,1.700893,31,200862,CC[N+]1(CCOC(=O)C1)CC.[Cl-]
-4.3604970000000005,1.914338,32,3083778,CC[N+](C)(CC)CC.[Br-]
-2.6656888,3.0446732000000005,33,158451,CCC[N+](C)(C)CC.[Br-]
-8.683677000000001,-2.0156026000000002,34,71309220,C[N+](C)(C)CCO.[Br-]
7.1957355,6.272881,35,76408,CCCCCCCC[N+](C)(C)CCCCCCCC.[Br-]
-5.16834,-0.32379955,36,6381,C[N+](C)(C)C.[I-]
-6.713107000000001,7.5535635999999995,37,11009532,CCCC[N+]1(CCCC1)C.[Br-]
-7.898756,-5.402544,38,6454543,C[N+](C)(CCO)CC1=CC=CC=C1C=C.C=CC1=CC=CC=C1C=C.[Cl-]
2.6569452,2.176024,39,10045219,CCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
4.0071774,1.1986485,40,24949,CCCCCCCC[N+](C)(C)C.[Cl-]
-3.3519104,2.5321952999999997,41,20316921,CCC[N+](C)(CC)CC.[Br-]
-8.3311405,0.27099124,42,71309012,C[N+](C)(C)CCCl.[Cl-]
-5.266212,1.4327134,43,66125,CC[N+](C)(C)C.[I-]
-1.6340871000000001,-9.590672,44,3014549,C[N+](C)(CCO)CC1=CC=CC=C1.[Cl-]
-1.7710718999999997,-11.151819,45,94530,CC(=C)C(=O)OCC[N+](C)(C)CC1=CC=CC=C1.[Cl-]
