X,Y,rank,CID,SMILES
-34.91165,29.59958,1,1176,C(=O)(N)N
-63.65691999999999,16.410173,2,522583,CC(N)O
-62.669167,16.095873,3,71309146,CC(C)O
-62.668094999999994,16.095135,4,12213345,CC(C)O
-32.31057,31.257702000000002,5,11182567,CC(=O)O
-57.653362,-1.7512403000000003,6,2733137,C(CO)O
-66.255806,12.919889,7,1030,CC(CO)O
-62.66955600000001,16.094725,8,12213346,CC(C)O
-57.851569999999995,-0.47437236,9,10442,C(CO)CO
-66.255646,12.919264,10,439846,CC(CO)O
-66.25563000000001,12.919249,11,259994,CC(CO)O
-57.653362,-1.7512403000000003,12,2733139,C(CO)O
-22.351925,44.767265,13,12216717,CCC(=O)O
-64.9779,15.912482,14,439938,CC(CN)O
-64.97719000000001,15.911839,15,7311736,CC(CN)O
-62.668324,15.761956,16,2723972,CC(C)O
-57.616642000000006,-0.50353146,17,71309239,C(CO)CO
-22.503183,44.93565,18,12216724,CCC(=O)O
-22.824501,44.63149,19,9877334,CCC(=O)O
-22.403576,44.582596,20,16212409,CCC(=O)O
-22.835028,44.76466,21,10510806,CCC(=O)O
-44.90648,0.65174484,22,12201089,C(=S)(N)N
-22.503183,44.93565,23,59152704,CCC(=O)O
-22.486814000000003,44.500923,24,2724450,CCC(=O)O
-75.238304,1.3147162000000001,25,12995,C=COCCO
-45.073273,41.329570000000004,26,5950,CC(C(=O)O)N
-45.073357,41.329563,27,602,CC(C(=O)O)N
-66.336136,15.176770999999999,28,86049,CC(CNC)O
-66.28119000000001,11.648645,29,7896,CC(CCO)O
-62.810080000000006,15.739294000000001,30,262,CC(C(C)O)O
-70.53612,10.828805000000001,31,642402,CC(CO)OC
-70.09974,14.124476000000001,32,6993459,CC(COC)O
-70.09913,14.126028,33,2733589,CC(COC)O
-61.872344999999996,9.380034,34,753,C(C(CO)O)O
-69.586395,18.57004,35,11429,CCC(CO)O
-69.58655999999999,18.569886999999998,36,6993189,CCC(CO)O
-69.58702,18.569881,37,641012,CCC(CO)O
-32.26043,31.292371999999997,38,9833928,CC(=O)C(=O)O
-20.815365,46.50866,39,12216207,CCCC(=O)O
-67.85996999999999,9.931616,40,12695786,CC(CO)NC
-67.86001,9.931652,41,12695787,CC(CO)NC
-20.937199,46.875458,42,12216210,CCCC(=O)O
-32.054214,30.707914000000002,43,68535,CC#CC(=O)O
-20.639333999999998,47.05697,44,16213394,CCCC(=O)O
-12.40138,45.782394000000004,45,12180,CCCC(=O)OC
-66.943596,19.513168,46,6993810,CCCCC(C)O
-69.87019000000001,11.882480000000001,47,29420,CCOC(C)CO
-71.9627,14.439128,48,40895,CCC(COC)O
-71.49089000000001,11.503899,49,85854,CCC(CO)OC
-71.96281,14.439171,50,12651696,CCC(COC)O
-70.21675,10.288809,51,17291,CC(CCO)OC
-58.1104,-28.462202,52,71309603,C1=NC=NN1
-20.36015,46.609028,53,12216213,CCCC(=O)O
-59.531124,55.403434999999995,54,5951,C(C(C(=O)O)N)O
-32.261322,31.292585,55,1060,CC(=O)C(=O)O
-58.845016,-29.261488,56,16213375,C1=CN=CN1
-53.366595999999994,51.692634999999996,57,6657,CCC(C(=O)O)N
-31.570491999999998,45.941998,58,2761506,CC(CC(=O)O)N
-61.154495,-31.698240000000002,59,82140,C1=CN=C(N1)N
-54.978480000000005,-1.9710971000000002,60,13000297,C(CO)N
-54.97804,-1.9720919999999997,61,10329242,C(CO)N
-32.261616,31.291929999999997,62,10176093,CC(=O)C(=O)O
-71.66453,13.955735999999998,63,53422469,COCC(CF)O
-14.872562,-19.773834,64,53915682,CC=CC1=CC=CO1
-14.872562,-19.773834,65,12260247,CC=CC1=CC=CO1
-39.686386,35.788309999999996,66,170267,C#CC(C(=O)O)O
-67.153336,10.638625,67,18053,CC(CCO)CO
-66.98333000000001,17.064264,68,84682,CCC(C)O
-66.983864,17.064474,69,444683,CCC(C)O
-58.385464,-30.051176,70,18377217,C1=C(NC=N1)O
-14.425061,-18.11293,71,12200726,CC1=CC=CO1
-54.979477,-1.9695013,72,71308838,C(CO)N
-58.843903000000005,-29.261631,73,11701027,C1=CN=CN1
-32.31025,31.257883000000003,74,10153982,CC(=O)O
-22.70138,39.799755,75,10464296,C(C(=O)O)O
-41.36889,48.6356,76,11266,CCC(C(=O)O)O
-40.524634999999996,46.802322,77,448893,CCC(C)C(=O)O
-2.0084186,-42.084538,78,46780460,COC1=CC=CC=C1
-42.678265,39.262074,79,612,CC(C(=O)O)O
-42.677013,39.262257,80,107689,CC(C(=O)O)O
-42.676933,39.260933,81,61503,CC(C(=O)O)O
-15.434548000000001,-17.150116,82,7363,C1=COC(=C1)CS
-30.396953999999997,46.254246,83,12216201,CC(C)CC(=O)O
-53.366726,51.692577,84,80283,CCC(C(=O)O)N
-58.012969999999996,-0.18003027,85,71309106,C(CCO)CO
-20.36288,46.604126,86,9812753,CCCC(=O)O
-45.876926,37.697994,87,5702566,CC(C(=O)O)OC
-45.878464,37.698868,88,2733584,CC(C(=O)O)OC
-20.896612,46.950943,89,16213534,CCCC(=O)O
-53.499396999999995,-4.306962,90,60046,C1COCN1CCO
-54.975704,-1.9730683999999998,91,13000300,C(CO)N
-1.8779846000000002,-42.329215999999995,92,7519,COC1=CC=CC=C1
-57.878246,0.74300534,93,12374,C(CCCO)CCO
-42.21587,42.815674,94,53915657,CC(CF)C(=O)O
-62.725864,-30.737032,95,59638552,CC1=NC=CN1
-44.950638,40.020855,96,6288,CC(C(C(=O)O)N)O
-12.410325,44.897846,97,66774,COC(=O)CO
-66.28110500000001,11.648518,98,637497,CC(CCO)O
-66.280495,11.648405,99,446973,CC(CCO)O
-62.80947,15.736745,100,439888,CC(C(C)O)O
-63.145466000000006,0.5984446999999999,101,68410,CC(C)(CO)O
-67.86004,9.931683,102,12695785,CC(CO)NC
-24.507687,40.90765,103,286,C(C(=O)O)ON
-8.118703,-18.434084,104,71309481,CC1=CC=C(O1)C
9.846551,57.521069999999995,105,439963,C(CC=O)CC(=O)O
-56.578509999999994,0.64954805,106,9755,C(CCF)CO
-65.55461,-4.987396700000001,107,71309697,CCCCO
-55.23345,34.23212,108,520445,CCC(C(=O)OC)O
-68.8112,14.507412,109,19846,CC(C)OCC(C)O
-28.274292,28.1749,110,81326,CC1(CC1)C(=O)O
-58.012930000000004,-0.17994192,111,2724854,C(CCO)CO
-42.466423,41.621693,112,256876,CC(C(=O)O)F
-61.722202,8.060741,113,85763,C(CC(CO)O)CO
-1.8941051,-54.956157999999995,114,67576,COC1=CC=CC=C1F
1.1053485,-44.88989,115,9987,COC1=CC=C(C=C1)F
1.2135653,-44.994305,116,9975,COC1=CC(=CC=C1)F
-58.1104,-28.462202,117,9257,C1=NC=NN1
-68.8285,19.747272,118,93000,CCCC(CO)O
-30.397575,46.25444,119,10430,CC(C)CC(=O)O
-20.402483,46.91296,120,16217396,CCCC(=O)O
-66.82898,-5.0014687,121,8129,CCCCCCCO
-56.169037,-28.071021999999996,122,2735857,C1=CN(C=N1)C#N
-66.73313,16.334833,123,3016164,CCNCC(C)O
-66.984,17.064318,124,71309358,CCC(C)O
-28.88232,32.61795,125,2782825,CC(C(=O)O)(F)F
-76.652054,0.62347007,126,3014186,C(CON)O
-26.927046,34.160140000000006,127,29846,CCC(C)(CC)C(=O)O
-6.889157000000001,46.063846999999996,128,7824,CCCCCC(=O)OC
-61.804863,16.079214,129,17775974,CC(C(F)F)O
-61.153748,-33.37894,130,24955,C1=CN=C(N1)C=O
-27.322952,35.907814,131,14057,CC(C)(C)CC(=O)O
-57.53361999999999,30.2533,132,92821,CCCOC(=O)C(C)O
-54.151127,31.460876000000003,133,61160,CC(C)OC(=O)C(C)O
-54.151127,31.460878000000005,134,94609,CC(C)OC(=O)C(C)O
-54.151127,31.460876000000003,135,10942461,CC(C)OC(=O)C(C)O
-1.7389886000000003,-8.78576,136,74710,CC1=CC=C(O1)C(=O)O
-54.815697,58.862793,137,5960,C(C(C(=O)O)N)C(=O)O
-54.815624,58.86343000000001,138,83887,C(C(C(=O)O)N)C(=O)O
-54.815624,58.86343000000001,139,424,C(C(C(=O)O)N)C(=O)O
-40.57983,46.351227,140,15268841,CCOC(C)C(=O)O
-19.380032,62.297077,141,71308856,CCCCCC(=O)O
-56.28864,-4.251792,142,78211,C(CN)CNCCO
-64.97643000000001,15.911189000000002,143,4,CC(CN)O
-55.193325,-1.0566678999999999,144,9086,C(CN)CO
-69.04278599999999,14.526569,145,8087,CC(COCC(C)O)O
35.57827,18.934792,146,7678,CC(=O)CC1=CC=CC=C1
-7.3478866,-52.40305,147,61153,COC1=CC=CC=C1C=C
-66.812965,18.36959,148,7014876,CCCC(C)O
-66.812965,18.36959,149,2724896,CCCC(C)O
-59.669990000000006,-27.185346999999997,150,14351759,CN1C=NC=C1N
-30.504938,46.08377,151,9964084,CC(CC(=O)O)S
-41.48418,40.769077,152,12241224,CC(C)C(=O)O
-77.61001999999999,1.0163685,153,16213024,C(COCCO)O
-66.82874,-5.002639299999999,154,71308863,CCCCCCO
