,HBA,HBA_cid,GHS_info
0,choline chloride,6209,"['H315', 'H319', 'H335']"
1,choline acetate,187,No GHS data available
2,choline bromide,74724,"['H315', 'H319', 'H335']"
3,choline fluoride,22134097,No GHS data available
4,choline nitrate,13646546,No GHS data available
5,(2-chloroethyl)trimethylammonium chloride,13836,"['H302:', 'H312:']"
6,ethyl(2-hydroxyethyl)dimethylammonium chloride,87940,No GHS data available
7,benzyl(2-hydroxyethyl)dimethylammonium chloride,3014549,"['H315', 'H319', 'H335']"
8,acetylcholine chloride,6060,"['H315', 'H319', 'H335']"
9,tetramethylammonium chloride,6379,"['H300', 'H301', 'H311', 'H315', 'H319', 'H335', 'H370', 'H410', 'H411']"
10,ethylammonium chloride,11198,"['H315', 'H319', 'H335']"
11,ethylammonium bromide,68974,"['H315', 'H319']"
12,beta-(Diethylamino)ethyl alcohol hydrochloride,517011,No GHS data available
13,triethylmethylammonium chloride,82326,"['H315', 'H319', 'H335']"
14,tetraethylammonium chloride,5946,"['H302', 'H315', 'H319', 'H335']"
15,tetraethylammonium bromide,6285,"['H302', 'H315', 'H319', 'H335']"
16,propylammonium bromide,12203661,"['H315', 'H319']"
17,tetrapropylammonium chloride,79880,"['H315', 'H319', 'H335']"
18,tetrapropylammonium bromide,74745,Not classified as a hazardous substance
19,butylammonium bromide,12199058,"['H315', 'H319']"
20,decyltrimethylammonium bromide,16388,"['H315', 'H319', 'H335']"
21,dodecyltrimethylammonium bromide,14249,"['H301', 'H302', 'H315', 'H317', 'H319', 'H335', 'H400', 'H410']"
22,tetradecyltrimethylammonium bromide,14250,"['H302', 'H314', 'H315', 'H318', 'H335', 'H373', 'H400']"
23,tetrabutylammonium chloride,70681,"['H315', 'H319', 'H335']"
24,tetrabutylammonium bromide,74236,"['H302', 'H315', 'H319', 'H335', 'H411', 'H412']"
25,tetrahexylammonium bromide,78026,"['H315', 'H319', 'H335']"
26,tetraheptylammonium chloride,82489,"['H315', 'H319', 'H335']"
27,methyltrioctylammonium chloride,21218,"['H301', 'H315', 'H318', 'H319', 'H400', 'H410']"
28,tetraoctylammonium chloride,11996614,"['H315', 'H319', 'H335']"
29,tetraoctylammonium bromide,2734117,"['H315', 'H319', 'H335']"
30,benzyltrimethylammonium chloride,5963,"['H301', 'H302', 'H311', 'H315', 'H319', 'H332', 'H341', 'H412']"
31,benzyltriethylammonium chloride,66133,"['H302', 'H315', 'H317', 'H319', 'H335', 'H412']"
32,benzyltripropylammonium chloride,6097067,"['H315', 'H319', 'H335']"
33,tetrabutylphosphonium bromide,76564,"['H302', 'H310', 'H311', 'H315', 'H318', 'H319', 'H335', 'H411']"
34,methyltriphenylphosphonium bromide,74505,"['H300', 'H301', 'H302+H312+H332', 'H302', 'H312', 'H315', 'H319', 'H332', 'H411']"
35,ethyltriphenylphosphonium iodide,78474,"['H300', 'H301', 'H312', 'H315', 'H318', 'H319', 'H335']"
36,allyltriphenylphosphonium bromide,197740,"['H315', 'H319', 'H335']"
37,benzyltriphenylphosphonium chloride,70671,"['H300', 'H301', 'H311', 'H315', 'H318', 'H319', 'H330', 'H331', 'H335', 'H372']"
38,guanidinium chloride,5742,"['H302:', 'H315:', 'H319:']"
