"Electrical conductivity, S/m",HBA,HBA Mole Fraction,HBA_MW,HBD,HBD_MW,"Pressure, kPa","Temperature, K"
0.049,benzyltriphenylphosphonium chloride,0.25,388.87,"1,2-ethanediol",62.07,101.3,328.15
0.02,benzyltriphenylphosphonium chloride,0.25,388.87,"1,2-ethanediol",62.07,101.3,338.15
0.0016,benzyltriphenylphosphonium chloride,0.25,388.87,"1,2-ethanediol",62.07,101.3,348.15
0.0015,benzyltriphenylphosphonium chloride,0.25,388.87,"1,2-ethanediol",62.07,101.3,358.15
0.0014,benzyltriphenylphosphonium chloride,0.25,388.87,"1,2-ethanediol",62.07,101.3,368.15
0.016,benzyltriphenylphosphonium chloride,0.167,388.87,glycerol,92.09,101.3,328.15
0.0019,benzyltriphenylphosphonium chloride,0.167,388.87,glycerol,92.09,101.3,338.15
0.0017,benzyltriphenylphosphonium chloride,0.167,388.87,glycerol,92.09,101.3,348.15
0.0015,benzyltriphenylphosphonium chloride,0.167,388.87,glycerol,92.09,101.3,358.15
0.0014,benzyltriphenylphosphonium chloride,0.167,388.87,glycerol,92.09,101.3,368.15
0.057211,trimethylbenzylammonium chloride,0.3,185.69,4-methylbenzenesulfonic acid,172.20,101,308.2
0.0825802,trimethylbenzylammonium chloride,0.3,185.69,4-methylbenzenesulfonic acid,172.20,101,313.22
0.127478,trimethylbenzylammonium chloride,0.3,185.69,4-methylbenzenesulfonic acid,172.20,101,318.31
0.186962,trimethylbenzylammonium chloride,0.3,185.69,4-methylbenzenesulfonic acid,172.20,101,323.16
0.256234,trimethylbenzylammonium chloride,0.3,185.69,4-methylbenzenesulfonic acid,172.20,101,328.17
0.345034,trimethylbenzylammonium chloride,0.3,185.69,4-methylbenzenesulfonic acid,172.20,101,333.27
0.00697674,benzyltriphenylphosphonium chloride,0.0588,388.87,glycerol,92.09,101,298.097
0.0174419,benzyltriphenylphosphonium chloride,0.0588,388.87,glycerol,92.09,101,313.319
0.0331395,benzyltriphenylphosphonium chloride,0.0588,388.87,glycerol,92.09,101,322.96
0.0418605,benzyltriphenylphosphonium chloride,0.0588,388.87,glycerol,92.09,101,328.034
