HBA,HBA Mole Fraction,HBA_MW,HBD,HBD_MW,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>","Temperature, K"
tetrapropylammonium bromide,0.333,266.27,"1,6-hexanediol",118.18,101.3,1042.2,313.15
methyltriphenylphosphonium bromide,0.16,357.23,triethylene glycol,150.17,101,1186,298.15
methyltriphenylphosphonium bromide,0.2,357.23,triethylene glycol,150.17,101,1199,298.15
methyltriphenylphosphonium bromide,0.25,357.23,triethylene glycol,150.17,101,1216,298.15
tetraethylammonium chloride,0.25,165.71,4-oxopentanoic acid,116.12,101.3,1090.3,303.15
tetraethylammonium chloride,0.25,165.71,4-oxopentanoic acid,116.12,101.3,1083.3,313.15
tetraethylammonium chloride,0.25,165.71,4-oxopentanoic acid,116.12,101.3,1076.1,323.15
tetraethylammonium chloride,0.25,165.71,4-oxopentanoic acid,116.12,101.3,1069.2,333.15
tetrabutylammonium chloride,0.25,277.92,4-oxopentanoic acid,116.12,101.3,1027.3,303.15
tetrabutylammonium chloride,0.25,277.92,4-oxopentanoic acid,116.12,101.3,1020.3,313.15
tetrabutylammonium chloride,0.25,277.92,4-oxopentanoic acid,116.12,101.3,1013.1,323.15
tetrabutylammonium chloride,0.25,277.92,4-oxopentanoic acid,116.12,101.3,1006,333.15
methyltriphenylphosphonium bromide,0.25,357.23,"1,2-ethanediol",62.07,101,1249.1,298.15
methyltriphenylphosphonium bromide,0.25,357.23,"1,2-ethanediol",62.07,101,1245.7,303.15
methyltriphenylphosphonium bromide,0.25,357.23,"1,2-ethanediol",62.07,101,1242.2,308.15
methyltriphenylphosphonium bromide,0.25,357.23,"1,2-ethanediol",62.07,101,1238.8,313.15
methyltriphenylphosphonium bromide,0.25,357.23,"1,2-ethanediol",62.07,101,1235.4,318.15
methyltriphenylphosphonium bromide,0.25,357.23,"1,2-ethanediol",62.07,101,1231.9,323.15
methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,1295.8,298.15
methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,1292.4,303.15
methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,1288.9,308.15
methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,1285.3,313.15
methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,1281.7,318.15
methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,1278.1,323.15
methyltriphenylphosphonium bromide,0.111,357.23,"2,2,2-trifluoroacetamide",113.04,101,1394.7,298.15
methyltriphenylphosphonium bromide,0.111,357.23,"2,2,2-trifluoroacetamide",113.04,101,1383.7,308.15
methyltriphenylphosphonium bromide,0.111,357.23,"2,2,2-trifluoroacetamide",113.04,101,1372.7,318.15
methyltriphenylphosphonium bromide,0.111,357.23,"2,2,2-trifluoroacetamide",113.04,101,1361.6,328.15
methyltriphenylphosphonium bromide,0.111,357.23,"2,2,2-trifluoroacetamide",113.04,101,1350.4,338.15
methyltriphenylphosphonium bromide,0.111,357.23,"2,2,2-trifluoroacetamide",113.04,101,1339.3,348.15
methyltriphenylphosphonium bromide,0.111,357.23,"2,2,2-trifluoroacetamide",113.04,101,1328.2,358.15
methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,1232.6,298.15
methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,1225.6,308.15
methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,1218.5,318.15
methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,1211.4,328.15
methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,1204.3,338.15
methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,1197.2,348.15
methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,1190,358.15
methyltriphenylphosphonium bromide,0.3636,357.23,glycerol,92.09,101,1289.9,298.15
methyltriphenylphosphonium bromide,0.3636,357.23,glycerol,92.09,101,1283,308.15
methyltriphenylphosphonium bromide,0.3636,357.23,glycerol,92.09,101,1275.9,318.15
methyltriphenylphosphonium bromide,0.3636,357.23,glycerol,92.09,101,1268.8,328.15
methyltriphenylphosphonium bromide,0.3636,357.23,glycerol,92.09,101,1261.9,338.15
methyltriphenylphosphonium bromide,0.3636,357.23,glycerol,92.09,101,1255,348.15
methyltriphenylphosphonium bromide,0.3636,357.23,glycerol,92.09,101,1248,358.15
benzyltriphenylphosphonium chloride,0.0588,388.87,glycerol,92.09,101,1242.41,298.186
benzyltriphenylphosphonium chloride,0.0588,388.87,glycerol,92.09,101,1238.07,303.209
benzyltriphenylphosphonium chloride,0.0588,388.87,glycerol,92.09,101,1230.12,313.256
benzyltriphenylphosphonium chloride,0.0588,388.87,glycerol,92.09,101,1224.34,323.302
benzyltriphenylphosphonium chloride,0.0588,388.87,glycerol,92.09,101,1219.28,333.07
benzyltriphenylphosphonium chloride,0.0588,388.87,glycerol,92.09,101,1211.33,343.256
benzyltriphenylphosphonium chloride,0.0588,388.87,glycerol,92.09,101,1205.54,353.163
benzyltriphenylphosphonium chloride,0.0588,388.87,glycerol,92.09,101,1196.87,363.349
methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,1297.35,298.186
methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,1293.73,303.07
methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,1287.23,313.116
methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,1280,323.163
methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,1273.49,333.209
methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,1266.99,343.256
methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,1259.04,353.302
methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,1252.53,363.349
trimethylbenzylammonium chloride,0.3,185.69,4-methylbenzenesulfonic acid,172.20,101,1194,293.13
trimethylbenzylammonium chloride,0.3,185.69,4-methylbenzenesulfonic acid,172.20,101,1191,298.12
trimethylbenzylammonium chloride,0.3,185.69,4-methylbenzenesulfonic acid,172.20,101,1188,303.03
trimethylbenzylammonium chloride,0.3,185.69,4-methylbenzenesulfonic acid,172.20,101,1184,308.1
trimethylbenzylammonium chloride,0.3,185.69,4-methylbenzenesulfonic acid,172.20,101,1181,313.01
trimethylbenzylammonium chloride,0.3,185.69,4-methylbenzenesulfonic acid,172.20,101,1178,318.09
trimethylbenzylammonium chloride,0.3,185.69,4-methylbenzenesulfonic acid,172.20,101,1174,322.99
trimethylbenzylammonium chloride,0.3,185.69,4-methylbenzenesulfonic acid,172.20,101,1171,328.07
trimethylbenzylammonium chloride,0.3,185.69,4-methylbenzenesulfonic acid,172.20,101,1168,333.06
trimethylbenzylammonium chloride,0.5,185.69,ethanedioic acid,90.03,101,1199,293.13
trimethylbenzylammonium chloride,0.5,185.69,ethanedioic acid,90.03,101,1194,298.12
trimethylbenzylammonium chloride,0.5,185.69,ethanedioic acid,90.03,101,1190,303.03
trimethylbenzylammonium chloride,0.5,185.69,ethanedioic acid,90.03,101,1186,308.02
trimethylbenzylammonium chloride,0.5,185.69,ethanedioic acid,90.03,101,1183,313.18
