"Heat capacity at constant pressure, J/K/mol",HBA Mole Fraction,"Pressure, kPa","Temperature, K",HBD_MW,HBA_MW,HBD,HBA
590,0.8,100,308.2,60.06,277.92,urea,tetrabutylammonium chloride
593,0.8,100,310.7,60.06,277.92,urea,tetrabutylammonium chloride
598,0.8,100,313.2,60.06,277.92,urea,tetrabutylammonium chloride
601,0.8,100,315.7,60.06,277.92,urea,tetrabutylammonium chloride
603,0.8,100,318.2,60.06,277.92,urea,tetrabutylammonium chloride
601,0.8,100,320.7,60.06,277.92,urea,tetrabutylammonium chloride
602,0.8,100,323.2,60.06,277.92,urea,tetrabutylammonium chloride
603,0.8,100,325.7,60.06,277.92,urea,tetrabutylammonium chloride
602,0.8,100,328.2,60.06,277.92,urea,tetrabutylammonium chloride
603,0.8,100,330.7,60.06,277.92,urea,tetrabutylammonium chloride
605,0.8,100,333.2,60.06,277.92,urea,tetrabutylammonium chloride
605,0.8,100,335.7,60.06,277.92,urea,tetrabutylammonium chloride
603,0.8,100,338.2,60.06,277.92,urea,tetrabutylammonium chloride
604,0.8,100,340.7,60.06,277.92,urea,tetrabutylammonium chloride
604,0.8,100,343.2,60.06,277.92,urea,tetrabutylammonium chloride
605,0.8,100,345.7,60.06,277.92,urea,tetrabutylammonium chloride
605,0.8,100,348.2,60.06,277.92,urea,tetrabutylammonium chloride
605,0.8,100,350.7,60.06,277.92,urea,tetrabutylammonium chloride
606,0.8,100,353.2,60.06,277.92,urea,tetrabutylammonium chloride
328.5,0.25,100,298.15,92.09,357.23,glycerol,methyltriphenylphosphonium bromide
329.6,0.25,100,300.65,92.09,357.23,glycerol,methyltriphenylphosphonium bromide
330.5,0.25,100,303.15,92.09,357.23,glycerol,methyltriphenylphosphonium bromide
331.6,0.25,100,305.65,92.09,357.23,glycerol,methyltriphenylphosphonium bromide
332.7,0.25,100,308.15,92.09,357.23,glycerol,methyltriphenylphosphonium bromide
333.7,0.25,100,310.65,92.09,357.23,glycerol,methyltriphenylphosphonium bromide
334.8,0.25,100,313.15,92.09,357.23,glycerol,methyltriphenylphosphonium bromide
335.8,0.25,100,315.65,92.09,357.23,glycerol,methyltriphenylphosphonium bromide
336.5,0.25,100,318.15,92.09,357.23,glycerol,methyltriphenylphosphonium bromide
338.1,0.25,100,320.65,92.09,357.23,glycerol,methyltriphenylphosphonium bromide
339.4,0.25,100,323.15,92.09,357.23,glycerol,methyltriphenylphosphonium bromide
339.6,0.25,100,325.65,92.09,357.23,glycerol,methyltriphenylphosphonium bromide
340.8,0.25,100,328.15,92.09,357.23,glycerol,methyltriphenylphosphonium bromide
