HBA,HBA Mole Fraction,HBA_MW,HBD,HBD_MW,"Pressure, kPa",Refractive index (Na D-line),"Temperature, K"
tetrapropylammonium bromide,0.333,266.27,"1,6-hexanediol",118.18,101.3,1.47923,313.15
benzyltriphenylphosphonium chloride,0.833,388.87,glycerol,92.09,101.3,1.5502,328.15
benzyltriphenylphosphonium chloride,0.833,388.87,glycerol,92.09,101.3,1.5168,338.15
benzyltriphenylphosphonium chloride,0.75,388.87,"1,2-ethanediol",62.07,101.3,1.5258,328.15
benzyltriphenylphosphonium chloride,0.75,388.87,"1,2-ethanediol",62.07,101.3,1.5309,338.15
methyltriphenylphosphonium bromide,0.16,357.23,"1,2-ethanediol",62.07,101,1.5398,298.15
methyltriphenylphosphonium bromide,0.2,357.23,"1,2-ethanediol",62.07,101,1.553,298.15
methyltriphenylphosphonium bromide,0.25,357.23,"1,2-ethanediol",62.07,101,1.5678,298.15
methyltriphenylphosphonium bromide,0.2,357.23,glycerol,92.09,101,1.5597,298.15
methyltriphenylphosphonium bromide,0.25,357.23,glycerol,92.09,101,1.5715,298.15
methyltriphenylphosphonium bromide,0.34,357.23,glycerol,92.09,101,1.5917,298.15
methyltriphenylphosphonium bromide,0.16,357.23,triethylene glycol,150.17,101,1.5178,298.15
methyltriphenylphosphonium bromide,0.2,357.23,triethylene glycol,150.17,101,1.5263,298.15
methyltriphenylphosphonium bromide,0.25,357.23,triethylene glycol,150.17,101,1.5417,298.15
methyltriphenylphosphonium bromide,0.8,357.23,"1,2-ethanediol",62.07,101.3,1.5622,288.15
methyltriphenylphosphonium bromide,0.8,357.23,"1,2-ethanediol",62.07,101.3,1.5542,308.15
methyltriphenylphosphonium bromide,0.8,357.23,"1,2-ethanediol",62.07,101.3,1.5483,328.15
methyltriphenylphosphonium bromide,0.8,357.23,"1,2-ethanediol",62.07,101.3,1.5446,338.15
methyltriphenylphosphonium bromide,0.889,357.23,"2,2,2-trifluoroacetamide",113.04,101.3,1.4913,288.15
methyltriphenylphosphonium bromide,0.889,357.23,"2,2,2-trifluoroacetamide",113.04,101.3,1.4849,298.15
methyltriphenylphosphonium bromide,0.889,357.23,"2,2,2-trifluoroacetamide",113.04,101.3,1.4824,308.15
methyltriphenylphosphonium bromide,0.889,357.23,"2,2,2-trifluoroacetamide",113.04,101.3,1.4782,318.15
