HBA,HBA Mole Fraction,HBA_MW,HBD,HBD_MW,"Pressure, kPa","Speed of sound, m/s","Temperature, K"
benzyltripropylammonium chloride,0.25,269.86,glycerol,92.09,101,1898.3,293.15
benzyltripropylammonium chloride,0.25,269.86,glycerol,92.09,101,1868.9,298.15
benzyltripropylammonium chloride,0.25,269.86,glycerol,92.09,101,1844.9,303.15
benzyltripropylammonium chloride,0.25,269.86,glycerol,92.09,101,1824.4,308.15
benzyltripropylammonium chloride,0.25,269.86,glycerol,92.09,101,1806.5,313.15
benzyltripropylammonium chloride,0.25,269.86,glycerol,92.09,101,1790.1,318.15
benzyltripropylammonium chloride,0.25,269.86,glycerol,92.09,101,1774.7,323.15
benzyltripropylammonium chloride,0.25,269.86,glycerol,92.09,101,1760.1,328.15
benzyltripropylammonium chloride,0.25,269.86,glycerol,92.09,101,1745.9,333.15
benzyltripropylammonium chloride,0.25,269.86,glycerol,92.09,101,1732.2,338.15
benzyltripropylammonium chloride,0.25,269.86,glycerol,92.09,101,1719.2,343.15
benzyltripropylammonium chloride,0.25,269.86,2-hydroxypropanoic acid,90.08,101,1658.2,293.15
benzyltripropylammonium chloride,0.25,269.86,2-hydroxypropanoic acid,90.08,101,1640.8,298.15
benzyltripropylammonium chloride,0.25,269.86,2-hydroxypropanoic acid,90.08,101,1624.7,303.15
benzyltripropylammonium chloride,0.25,269.86,2-hydroxypropanoic acid,90.08,101,1607.9,308.15
benzyltripropylammonium chloride,0.25,269.86,2-hydroxypropanoic acid,90.08,101,1592.5,313.15
benzyltripropylammonium chloride,0.25,269.86,2-hydroxypropanoic acid,90.08,101,1577.6,318.15
benzyltripropylammonium chloride,0.25,269.86,2-hydroxypropanoic acid,90.08,101,1563.7,323.15
benzyltripropylammonium chloride,0.25,269.86,2-hydroxypropanoic acid,90.08,101,1550.1,328.15
benzyltripropylammonium chloride,0.25,269.86,2-hydroxypropanoic acid,90.08,101,1537.3,333.15
benzyltripropylammonium chloride,0.25,269.86,2-hydroxypropanoic acid,90.08,101,1525.1,338.15
benzyltripropylammonium chloride,0.25,269.86,2-hydroxypropanoic acid,90.08,101,1513.6,343.15
benzyltripropylammonium chloride,0.25,269.86,"1,2-ethanediol",62.07,101,1762.4,293.15
benzyltripropylammonium chloride,0.25,269.86,"1,2-ethanediol",62.07,101,1746.5,298.15
benzyltripropylammonium chloride,0.25,269.86,"1,2-ethanediol",62.07,101,1731,303.15
benzyltripropylammonium chloride,0.25,269.86,"1,2-ethanediol",62.07,101,1715.9,308.15
benzyltripropylammonium chloride,0.25,269.86,"1,2-ethanediol",62.07,101,1701.1,313.15
benzyltripropylammonium chloride,0.25,269.86,"1,2-ethanediol",62.07,101,1686.4,318.15
benzyltripropylammonium chloride,0.25,269.86,"1,2-ethanediol",62.07,101,1671.9,323.15
benzyltripropylammonium chloride,0.25,269.86,"1,2-ethanediol",62.07,101,1657.5,328.15
benzyltripropylammonium chloride,0.25,269.86,"1,2-ethanediol",62.07,101,1643.3,333.15
benzyltripropylammonium chloride,0.25,269.86,"1,2-ethanediol",62.07,101,1629.2,338.15
benzyltripropylammonium chloride,0.25,269.86,"1,2-ethanediol",62.07,101,1615.7,343.15
benzyltripropylammonium chloride,0.25,269.86,phenol,94.11,101,1699.7,293.15
benzyltripropylammonium chloride,0.25,269.86,phenol,94.11,101,1679.8,298.15
benzyltripropylammonium chloride,0.25,269.86,phenol,94.11,101,1661.7,303.15
benzyltripropylammonium chloride,0.25,269.86,phenol,94.11,101,1644.5,308.15
benzyltripropylammonium chloride,0.25,269.86,phenol,94.11,101,1628,313.15
benzyltripropylammonium chloride,0.25,269.86,phenol,94.11,101,1611.9,318.15
benzyltripropylammonium chloride,0.25,269.86,phenol,94.11,101,1596.2,323.15
benzyltripropylammonium chloride,0.25,269.86,phenol,94.11,101,1580.7,328.15
benzyltripropylammonium chloride,0.25,269.86,phenol,94.11,101,1565.5,333.15
benzyltripropylammonium chloride,0.25,269.86,phenol,94.11,101,1550.5,338.15
benzyltripropylammonium chloride,0.25,269.86,phenol,94.11,101,1536.1,343.15
benzyltributylammonium chloride,0.25,311.94,"1,2-ethanediol",62.07,100,1734.9,283.15
benzyltributylammonium chloride,0.25,311.94,"1,2-ethanediol",62.07,100,1716.3,288.15
benzyltributylammonium chloride,0.25,311.94,"1,2-ethanediol",62.07,100,1698.9,293.15
benzyltributylammonium chloride,0.25,311.94,"1,2-ethanediol",62.07,100,1682.2,298.15
benzyltributylammonium chloride,0.25,311.94,"1,2-ethanediol",62.07,100,1666.2,303.15
benzyltributylammonium chloride,0.25,311.94,"1,2-ethanediol",62.07,100,1650.5,308.15
benzyltributylammonium chloride,0.25,311.94,"1,2-ethanediol",62.07,100,1635.2,313.15
benzyltributylammonium chloride,0.25,311.94,"1,2-ethanediol",62.07,100,1620.1,318.15
benzyltributylammonium chloride,0.25,311.94,"1,2-ethanediol",62.07,100,1605.2,323.15
benzyltributylammonium chloride,0.25,311.94,"1,2-ethanediol",62.07,100,1590.5,328.15
benzyltributylammonium chloride,0.25,311.94,"1,2-ethanediol",62.07,100,1576,333.15
benzyltributylammonium chloride,0.25,311.94,"1,2-ethanediol",62.07,100,1561.7,338.15
benzyltributylammonium chloride,0.25,311.94,"1,2-ethanediol",62.07,100,1547.9,343.15
benzyltributylammonium chloride,0.25,311.94,diethylene glycol,106.12,100,1706.8,283.15
benzyltributylammonium chloride,0.25,311.94,diethylene glycol,106.12,100,1689.5,288.15
benzyltributylammonium chloride,0.25,311.94,diethylene glycol,106.12,100,1673.2,293.15
benzyltributylammonium chloride,0.25,311.94,diethylene glycol,106.12,100,1658.1,298.15
benzyltributylammonium chloride,0.25,311.94,diethylene glycol,106.12,100,1643.5,303.15
benzyltributylammonium chloride,0.25,311.94,diethylene glycol,106.12,100,1629.5,308.15
benzyltributylammonium chloride,0.25,311.94,diethylene glycol,106.12,100,1615.6,313.15
benzyltributylammonium chloride,0.25,311.94,diethylene glycol,106.12,100,1602,318.15
benzyltributylammonium chloride,0.25,311.94,diethylene glycol,106.12,100,1588.6,323.15
benzyltributylammonium chloride,0.25,311.94,diethylene glycol,106.12,100,1575.3,328.15
benzyltributylammonium chloride,0.25,311.94,diethylene glycol,106.12,100,1562.1,333.15
benzyltributylammonium chloride,0.25,311.94,diethylene glycol,106.12,100,1549.2,338.15
benzyltributylammonium chloride,0.25,311.94,diethylene glycol,106.12,100,1536.7,343.15
trimethylbenzylammonium chloride,0.25,185.69,glycerol,92.09,100,1992.6,283.15
trimethylbenzylammonium chloride,0.25,185.69,glycerol,92.09,100,1970.8,288.15
trimethylbenzylammonium chloride,0.25,185.69,glycerol,92.09,100,1953,293.15
trimethylbenzylammonium chloride,0.25,185.69,glycerol,92.09,100,1937.6,298.15
trimethylbenzylammonium chloride,0.25,185.69,glycerol,92.09,100,1923.4,303.15
trimethylbenzylammonium chloride,0.25,185.69,glycerol,92.09,100,1910.1,308.15
trimethylbenzylammonium chloride,0.25,185.69,glycerol,92.09,100,1897.2,313.15
trimethylbenzylammonium chloride,0.25,185.69,glycerol,92.09,100,1884.6,318.15
trimethylbenzylammonium chloride,0.25,185.69,glycerol,92.09,100,1872.3,323.15
trimethylbenzylammonium chloride,0.25,185.69,glycerol,92.09,100,1860,328.15
trimethylbenzylammonium chloride,0.25,185.69,glycerol,92.09,100,1847.9,333.15
trimethylbenzylammonium chloride,0.25,185.69,glycerol,92.09,100,1835.8,338.15
trimethylbenzylammonium chloride,0.25,185.69,glycerol,92.09,100,1824.2,343.15
benzyltributylammonium chloride,0.25,311.94,glycerol,92.09,100,1908,283.15
benzyltributylammonium chloride,0.25,311.94,glycerol,92.09,100,1866.4,288.15
benzyltributylammonium chloride,0.25,311.94,glycerol,92.09,100,1833,293.15
benzyltributylammonium chloride,0.25,311.94,glycerol,92.09,100,1805.3,298.15
benzyltributylammonium chloride,0.25,311.94,glycerol,92.09,100,1782,303.15
benzyltributylammonium chloride,0.25,311.94,glycerol,92.09,100,1761.7,308.15
benzyltributylammonium chloride,0.25,311.94,glycerol,92.09,100,1743.5,313.15
benzyltributylammonium chloride,0.25,311.94,glycerol,92.09,100,1726.8,318.15
benzyltributylammonium chloride,0.25,311.94,glycerol,92.09,100,1711.2,323.15
benzyltributylammonium chloride,0.25,311.94,glycerol,92.09,100,1696,328.15
benzyltributylammonium chloride,0.25,311.94,glycerol,92.09,100,1681.5,333.15
benzyltributylammonium chloride,0.25,311.94,glycerol,92.09,100,1667.3,338.15
benzyltributylammonium chloride,0.25,311.94,glycerol,92.09,100,1653.9,343.15
trimethylbenzylammonium chloride,0.25,185.69,triethylene glycol,150.17,100,1776.2,283.15
trimethylbenzylammonium chloride,0.25,185.69,triethylene glycol,150.17,100,1761,288.15
trimethylbenzylammonium chloride,0.25,185.69,triethylene glycol,150.17,100,1746.2,293.15
trimethylbenzylammonium chloride,0.25,185.69,triethylene glycol,150.17,100,1731.4,298.15
trimethylbenzylammonium chloride,0.25,185.69,triethylene glycol,150.17,100,1716.9,303.15
trimethylbenzylammonium chloride,0.25,185.69,triethylene glycol,150.17,100,1702.8,308.15
trimethylbenzylammonium chloride,0.25,185.69,triethylene glycol,150.17,100,1688.5,313.15
trimethylbenzylammonium chloride,0.25,185.69,triethylene glycol,150.17,100,1674.6,318.15
trimethylbenzylammonium chloride,0.25,185.69,triethylene glycol,150.17,100,1660.8,323.15
trimethylbenzylammonium chloride,0.25,185.69,triethylene glycol,150.17,100,1647.2,328.15
trimethylbenzylammonium chloride,0.25,185.69,triethylene glycol,150.17,100,1633.6,333.15
trimethylbenzylammonium chloride,0.25,185.69,triethylene glycol,150.17,100,1620.1,338.15
trimethylbenzylammonium chloride,0.25,185.69,triethylene glycol,150.17,100,1606.6,343.15
