HBA,HBA Mole Fraction,HBD,"Pressure, kPa","Temperature, K","Viscosity, Pa&#8226;s"
tetraethylammonium chloride,0.3333333333333333,2-hydroxyethanoic acid,101,303.15,0.268
tetraethylammonium chloride,0.3333333333333333,2-hydroxyethanoic acid,101,323.15,0.087
tetraethylammonium chloride,0.3333333333333333,2-hydroxyethanoic acid,101,353.15,0.027
tetraoctylammonium bromide,0.3333333333333333,decanoic acid,101,303.15,0.469
tetraoctylammonium bromide,0.3333333333333333,decanoic acid,101,323.15,0.174
tetraoctylammonium bromide,0.3333333333333333,decanoic acid,101,353.15,0.056
trimethylbenzylammonium chloride,0.5,citric acid,101,312.91,237
trimethylbenzylammonium chloride,0.5,citric acid,101,317.97,152
trimethylbenzylammonium chloride,0.5,citric acid,101,323.1,89
trimethylbenzylammonium chloride,0.5,citric acid,101,327.86,52.1
trimethylbenzylammonium chloride,0.5,citric acid,101,332.88,28.1
tetrabutylammonium chloride,0.25,4-oxopentanoic acid,101,293.15,0.1217
tetrabutylammonium chloride,0.25,4-oxopentanoic acid,101,303.15,0.0656
tetrabutylammonium chloride,0.25,4-oxopentanoic acid,101,313.15,0.0367
tetrabutylammonium chloride,0.25,4-oxopentanoic acid,101,323.15,0.0255
tetrabutylammonium chloride,0.25,4-oxopentanoic acid,101,333.15,0.01747
tetraethylammonium chloride,0.25,4-oxopentanoic acid,101,293.15,0.1301
tetraethylammonium chloride,0.25,4-oxopentanoic acid,101,303.15,0.0698
tetraethylammonium chloride,0.25,4-oxopentanoic acid,101,313.15,0.0391
tetraethylammonium chloride,0.25,4-oxopentanoic acid,101,323.15,0.0271
tetraethylammonium chloride,0.25,4-oxopentanoic acid,101,333.15,0.01871
benzyltriphenylphosphonium chloride,0.25,"1,2-ethanediol",101.3,328.15,0.2
benzyltriphenylphosphonium chloride,0.25,"1,2-ethanediol",101.3,338.15,0.086
benzyltriphenylphosphonium chloride,0.25,"1,2-ethanediol",101.3,348.15,0.0593
benzyltriphenylphosphonium chloride,0.25,"1,2-ethanediol",101.3,358.15,0.0505
benzyltriphenylphosphonium chloride,0.25,"1,2-ethanediol",101.3,368.15,0.0359
benzyltriphenylphosphonium chloride,0.167,glycerol,101.3,328.15,0.55
benzyltriphenylphosphonium chloride,0.167,glycerol,101.3,338.15,0.34
benzyltriphenylphosphonium chloride,0.167,glycerol,101.3,348.15,0.119
benzyltriphenylphosphonium chloride,0.167,glycerol,101.3,358.15,0.0755
benzyltriphenylphosphonium chloride,0.167,glycerol,101.3,368.15,0.0387
methyltriphenylphosphonium bromide,0.3636,glycerol,101.3,318.15,0.89
methyltriphenylphosphonium bromide,0.3636,glycerol,101.3,328.15,0.41
methyltriphenylphosphonium bromide,0.3636,glycerol,101.3,338.15,0.206
methyltriphenylphosphonium bromide,0.3636,glycerol,101.3,348.15,0.105
methyltriphenylphosphonium bromide,0.3636,glycerol,101.3,358.15,0.077
methyltriphenylphosphonium bromide,0.3636,glycerol,101.3,368.15,0.0369
methyltriphenylphosphonium bromide,0.2,"1,2-ethanediol",101.3,278.1,0.34
methyltriphenylphosphonium bromide,0.2,"1,2-ethanediol",101.3,288.15,0.186
methyltriphenylphosphonium bromide,0.2,"1,2-ethanediol",101.3,298.15,0.11
methyltriphenylphosphonium bromide,0.2,"1,2-ethanediol",101.3,308.15,0.0686
methyltriphenylphosphonium bromide,0.2,"1,2-ethanediol",101.3,318.15,0.0395
methyltriphenylphosphonium bromide,0.2,"1,2-ethanediol",101.3,328.15,0.0197
methyltriphenylphosphonium bromide,0.2,"1,2-ethanediol",101.3,338.15,0.0054
methyltriphenylphosphonium bromide,0.2,"1,2-ethanediol",101.3,348.15,0.0018
benzyltriphenylphosphonium chloride,0.0588,glycerol,101,296.842,1.3598
benzyltriphenylphosphonium chloride,0.0588,glycerol,101,301.895,0.943
